Generic Name,Drug Class,Indications,Dosage Form,Strength,Route of Administration,Side Effects,Contraindications,Interaction warnings & Precautions,Storage Conditions,Pregnancy Category,Reference,Availability
Mebendazole,Anthelmintic,Parasitic worm infections,Tablet,100 mg,Oral,Abdominal pain,diarrhea,Carbamazepine and phenytoin decrease mebendazole levels Can cause transaminase elevation and neutropenia.,Room Temperature,Contraindicated (not allowed),FDA Prescribing Information,Prescription
Mecasermin,Recombinant Human IGF-1,Growth failure,Solution,10 mg/mL,Subcutaneous,Hypoglycemia,injection site reactions,Insulin and other hypoglycemic agents may increase risk Can cause hypoglycemia and require consumption of a meal or snack after administration.,Refrigerate Do Not Freeze,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Meclizine,Antihistamine,Vertigo,Tablet,25 mg,Oral,motion sickness,Sedation,CNS depressants may enhance sedative effects May cause drowsiness and impair mental and physical abilities.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,No prescription required
Medroxyprogesterone,Progestin,Contraception,Tablet,10 mg,Oral,abnormal uterine bleeding,Weight gain,Aminoglutethimide may decrease levels Can cause thromboembolic disorders and loss of bone mineral density.,Room Temperature,Positive evidence of fetus risks but benefits may outweigh risks in some cases,FDA Prescribing Information,Prescription
Mefenamic Acid,NSAID,Pain (including menstrual),Capsule,250 mg,Oral,Dyspepsia,diarrhea,ACE inhibitors and ARBs may have diminished antihypertensive effect Increases risk of serious cardiovascular thrombotic events and GI bleeding.,Room Temperature,Positive evidence of fetus risks but benefits may outweigh risks in some cases,FDA Prescribing Information (NSAID risk),Prescription
Mefloquine,Antimalarial,Malaria prevention and treatment,Tablet,250 mg,Oral,Dizziness,nausea,Beta-blockers and other QT-prolonging agents may have additive effects Can cause severe neuropsychiatric reactions and vertigo.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Megestrol,Progestin,Appetite stimulant (cachexia),Tablet,40 mg,Oral,breast cancer,Thromboembolism,Can increase the effects of warfarin Can cause thromboembolic phenomena and adrenal suppression.,Room Temperature,Positive evidence of fetus risks but benefits may outweigh risks in some cases,FDA Prescribing Information,Prescription
Meloxicam,NSAID,Osteoarthritis,Tablet,7.5 mg,Oral,rheumatoid arthritis,GI upset,ACE inhibitors and ARBs may have diminished antihypertensive effect Increases risk of serious cardiovascular thrombotic events and GI bleeding.,Room Temperature,Positive evidence of fetus risks but benefits may outweigh risks in some cases,FDA Prescribing Information (NSAID risk),Prescription
Melphalan,Alkylating Agent,Multiple myeloma,Tablet,2 mg,Oral,other cancers,Myelosuppression,Other bone marrow suppressants may have additive effects Can cause severe myelosuppression and secondary malignancies.,Room Temperature,Contraindicated (not allowed),FDA Prescribing Information,Prescription
Memantine,NMDA Receptor Antagonist,Alzheimer's disease,Tablet,10 mg,Oral,Dizziness,confusion,Drugs that make urine alkaline (eg carbonic anhydrase inhibitors) may decrease excretion Generally well-tolerated with dizziness being the most common side effect.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Meperidine,Opioid Agonist,Pain,Tablet,50 mg,Oral,Sedation,nausea,MAOIs can cause serotonin syndrome and hyperpyrexia Life-threatening respiratory depression may occur.,Room Temperature,Positive evidence of fetus risks but benefits may outweigh risks in some cases,FDA Prescribing Information (Opioid risk),Prescription
Mercaptopurine,Antimetabolite,Leukemia,Tablet,50 mg,Oral,Myelosuppression,nausea,Allopurinol inhibits xanthine oxidase increasing levels of active metabolites leading to severe myelosuppression Myelosuppression is dose-related and requires frequent CBC monitoring.,Room Temperature,Contraindicated (not allowed),FDA Prescribing Information,Prescription
Meropenem,Carbapenem Antibiotic,Serious bacterial infections,Powder for Injection,1 g,Intravenous,Diarrhea,nausea,Valproic acid levels may be significantly reduced Can cause seizures and hypersensitivity reactions.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Mesalamine,5-ASA Derivative,Ulcerative colitis,Tablet (DR),400 mg,Oral,Headache,nausea,No significant drug interactions Can cause renal impairment and acute intolerance syndrome.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Mesna,Uroprotectant,Prevention of hemorrhagic cystitis,Tablet,400 mg,Oral,Nausea,vomiting,No significant drug interactions Used to prevent hemorrhagic cystitis caused by ifosfamide.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Metaxalone,Skeletal Muscle Relaxant,Muscle spasms,Tablet,800 mg,Oral,Drowsiness,dizziness,CNS depressants may enhance sedative effects Can cause hemolytic anemia in patients with G6PD deficiency.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Metformin,Biguanide,Type 2 diabetes,Tablet,500 mg,Oral,Diarrhea,nausea,Alcohol and contrast dye can increase risk of lactic acidosis Can cause lactic acidosis a rare but serious metabolic complication.,Room Temperature,Human studies have proved safety,FDA Prescribing Information,Prescription
Methadone,Opioid Agonist,Pain management,Tablet,5 mg,Oral,opioid use disorder,Constipation,CYP450 inducers or inhibitors can significantly alter levels Can cause QT prolongation and life-threatening respiratory depression.,Room Temperature,Positive evidence of fetus risks but benefits may outweigh risks in some cases,FDA Prescribing Information (Opioid risk),Prescription
Methimazole,Antithyroid Agent,Hyperthyroidism,Tablet,10 mg,Oral,Rash,arthralgia,Other bone marrow suppressants may increase risk of agranulocytosis Can cause agranulocytosis and hepatotoxicity.,Room Temperature,Positive evidence of fetus risks but benefits may outweigh risks in some cases,FDA Prescribing Information,Prescription
Methocarbamol,Skeletal Muscle Relaxant,Muscle spasms,Tablet,750 mg,Oral,Drowsiness,dizziness,CNS depressants may enhance sedative effects Can cause discoloration of urine.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Methotrexate,Antimetabolite,Rheumatoid arthritis,Tablet,2.5 mg,Oral,certain cancers,Myelosuppression,NSAIDs and probenecid can decrease renal excretion and increase levels Can cause myelosuppression and hepatotoxicity.,Room Temperature,Contraindicated (not allowed),FDA Prescribing Information,Prescription
Methoxsalen,Psoralen,Psoriasis,Tablet,10 mg,Oral,vitiligo (with UVA),Nausea,Many drugs are photosensitizing (eg tetracyclines) Can cause severe phototoxic reactions and increased risk of skin cancer.,Room Temperature,Contraindicated (not allowed),FDA Prescribing Information,Prescription
Methylcellulose,Bulk-Forming Laxative,Constipation,Tablet,500 mg,Oral,Bloating,flatulence,Can decrease the absorption of other drugs administer other drugs at least 1 hour before or after Can cause esophageal obstruction if not taken with enough water.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,No prescription required
Methyldopa,Centrally Acting Alpha-2 Agonist,Hypertension,Tablet,250 mg,Oral,Sedation,dizziness,Lithium may cause increased lithium toxicity Can cause hemolytic anemia and positive Coombs test.,Room Temperature,Human studies have proved safety,FDA Prescribing Information,Prescription
Methylergonovine,Ergot Alkaloid,Prevent/treat postpartum hemorrhage,Tablet,0.2 mg,Oral,Nausea,vomiting,Strong CYP3A4 inhibitors are contraindicated due to risk of ergotism Contraindicated in hypertension and coronary artery disease.,Room Temperature,Positive evidence of fetus risks but benefits may outweigh risks in some cases,FDA Prescribing Information,Prescription
Methylnaltrexone,Peripheral Opioid Receptor Antagonist,Opioid-induced constipation,Tablet,12 mg,Subcutaneous,Abdominal pain,diarrhea,No significant drug interactions Can cause abdominal pain and diarrhea.,Refrigerate,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Methylphenidate,CNS Stimulant,ADHD,Tablet (ER),18 mg,Oral,narcolepsy,Insomnia,MAOIs are contraindicated due to risk of hypertensive crisis May exacerbate pre-existing psychosis and cause peripheral vasculopathy.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Methylprednisolone,Corticosteroid,Inflammatory conditions,Tablet,4 mg,Oral,immunosuppression,Hyperglycemia,CYP3A4 inducers (eg phenytoin) may decrease efficacy and inhibitors may increase effects Can cause hyperglycemia and adrenal suppression with prolonged use.,Room Temperature,Positive evidence of fetus risks but benefits may outweigh risks in some cases,FDA Prescribing Information,Prescription
Metoclopramide,Dopamine Antagonist,Gastroparesis,Tablet,10 mg,Oral,nausea/vomiting,Sedation,CNS depressants may enhance sedative effects Can cause extrapyramidal symptoms and tardive dyskinesia.,Room Temperature,Human studies have proved safety,FDA Prescribing Information,Prescription
Metolazone,Thiazide-like Diuretic,Hypertension,Tablet,5 mg,Oral,edema,Hypokalemia,Other antihypertensive drugs can have additive effects Lithium levels may be increased Can cause profound diuresis and electrolyte depletion.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information (Thiazide-like risk),Prescription
Metoprolol,Beta-Blocker,Hypertension,Tablet,50 mg,Oral,angina,heart failure,Other drugs that lower heart rate or blood pressure can have additive effects Abrupt withdrawal may exacerbate angina pectoris or cause myocardial infarction.,Room Temperature,Animal studies have proved adverse effects but may be safe for humans,FDA Prescribing Information (Beta-blocker risk),Prescription
Metronidazole,Nitroimidazole Antibiotic,Anaerobic bacterial infections,Tablet,500 mg,Oral,protozoal infections,Metallic taste,Disulfiram-like reaction can occur with alcohol Can cause peripheral neuropathy and seizures with prolonged use.,Room Temperature,Human studies have proved safety,FDA Prescribing Information,Prescription
Miconazole,Antifungal,Fungal skin infections,Cream,2%,Topical,vaginal yeast infections,Skin irritation,Warfarin metabolism is inhibited increasing INR For topical use only not for ophthalmic use.,Room Temperature,Human studies have proved safety,FDA Prescribing Information,No prescription required
Midazolam,Benzodiazepine,Sedation,Syrup,1 mg/mL,Oral,anesthesia,anxiolysis,CNS depressants including alcohol and opioids increase sedation risk Can cause profound respiratory depression and hypotension.,Room Temperature,Positive evidence of fetus risks but benefits may outweigh risks in some cases,FDA Prescribing Information,Prescription
Midodrine,Alpha-1 Agonist,Orthostatic hypotension,Tablet,5 mg,Oral,Supine hypertension,paresthesia,Other vasoconstrictors can have additive effects Can cause supine hypertension and bradycardia.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Miglitol,Alpha-Glucosidase Inhibitor,Type 2 diabetes,Tablet,25 mg,Oral,Flatulence,diarrhea,Can reduce the bioavailability of digoxin and propranolol Can cause flatulence diarrhea and abdominal pain.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Milrinone,Phosphodiesterase Inhibitor,Heart failure (short-term),Solution,1 mg/mL,Intravenous,Arrhythmias,hypotension,No significant drug interactions Can cause ventricular arrhythmias and hypotension.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Minocycline,Tetracycline Antibiotic,Bacterial infections,Capsule,100 mg,Oral,acne,Photosensitivity,Antacids and calcium supplements decrease absorption Can cause photosensitivity and vestibular toxicity (dizziness vertigo).,Room Temperature,Positive evidence of fetus risks but benefits may outweigh risks in some cases,FDA Prescribing Information (Tooth discoloration risk),Prescription
Minoxidil,Vasodilator / Hair Growth Stimulant,Hypertension,Solution,5%,Topical,androgenetic alopecia,Fluid retention,Other antihypertensive drugs can have additive effects Can cause pericardial effusion and hypertrichosis.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,No prescription required/Prescription
Mirabegron,Beta-3 Adrenergic Agonist,Overactive bladder,Tablet,25 mg,Oral,Hypertension,headache,Strong CYP2D6 inhibitors may increase levels Can increase blood pressure and cause urinary retention.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Mirtazapine,Tetracyclic Antidepressant,Depression,Tablet,15 mg,Oral,Sedation,weight gain,CNS depressants may enhance sedative effects Can cause significant weight gain and somnolence.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Misoprostol,Prostaglandin Analog,Prevention of NSAID-induced ulcers,Tablet,200 mcg,Oral,Diarrhea,abdominal pain,No significant drug interactions Contraindicated in pregnancy due to abortifacient properties.,Room Temperature,Contraindicated (not allowed),FDA Prescribing Information,Prescription
Mitomycin,Antitumor Antibiotic,Various cancers,Powder for Injection,5 mg,Intravenous,Myelosuppression,mucositis,Other bone marrow suppressants may have additive effects Can cause severe myelosuppression and hemolytic uremic syndrome.,Room Temperature,Contraindicated (not allowed),FDA Prescribing Information,Prescription
Mitotane,Adrenolytic Agent,Adrenocortical carcinoma,Tablet,500 mg,Oral,Nausea,vomiting,CYP3A4 inducers may decrease efficacy Can cause adrenal insufficiency and neurotoxicity.,Room Temperature,Contraindicated (not allowed),FDA Prescribing Information,Prescription
Mitoxantrone,Anthracenedione Antibiotic,Multiple sclerosis,Solution,2 mg/mL,Intravenous,certain cancers,Myelosuppression,Other cardiotoxic drugs increase risk Can cause severe myelosuppression and cardiotoxicity.,Room Temperature,Contraindicated (not allowed),FDA Prescribing Information,Prescription
Modafinil,CNS Stimulant,Narcolepsy,Tablet,100 mg,Oral,sleep apnea,shift work disorder,Induces CYP3A4 and inhibits CYP2C19 affecting many drugs Can cause serious skin reactions and psychiatric symptoms.,Room Temperature,Animal studies have proved adverse effects but may be safe for humans,FDA Prescribing Information,Prescription
Mometasone,Topical / Inhaled Corticosteroid,Inflammatory skin conditions,Cream,0.10%,Topical,asthma,Skin atrophy,Strong CYP3A4 inhibitors may increase systemic exposure Systemic absorption can occur with extensive use.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Montelukast,Leukotriene Receptor Antagonist,Asthma,Tablet,10 mg,Oral,allergic rhinitis,Headache,Phenobarbital may decrease levels Can cause neuropsychiatric events including agitation and depression.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Morphine,Opioid Agonist,Pain,Tablet (ER),15 mg,Oral,Constipation,nausea,CNS depressants including alcohol and benzodiazepines increase sedation risk Life-threatening respiratory depression may occur.,Room Temperature,Positive evidence of fetus risks but benefits may outweigh risks in some cases,FDA Prescribing Information (Opioid risk),Prescription
Moxifloxacin,Fluoroquinolone Antibiotic,Bacterial infections,Tablet,400 mg,Oral,Nausea,diarrhea,Drugs that prolong the QT interval may have additive effects Associated with tendonitis and tendon rupture and may exacerbate myasthenia gravis.,Room Temperature,Animal studies have proved adverse effects but may be safe for humans,FDA Prescribing Information (Arthropathy risk in animals),Prescription
Mupirocin,Antibiotic,Topical skin infections (impetigo),Ointment,2%,Topical,Burning,itching,No significant drug interactions For topical use only not for ophthalmic use.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Mycophenolate Mofetil,Immunosuppressant,Organ transplant rejection,Tablet,500 mg,Oral,autoimmune disorders,Diarrhea,Antacids and cholestyramine can decrease absorption Can cause severe myelosuppression and increased risk of infections.,Room Temperature,Contraindicated (not allowed),FDA Prescribing Information,Prescription
Nabumetone,NSAID,Osteoarthritis,Tablet,750 mg,Oral,rheumatoid arthritis,GI upset,ACE inhibitors and ARBs may have diminished antihypertensive effect Increases risk of serious cardiovascular thrombotic events and GI bleeding.,Room Temperature,Positive evidence of fetus risks but benefits may outweigh risks in some cases,FDA Prescribing Information (NSAID risk),Prescription
Nadolol,Beta-Blocker,Hypertension,Tablet,40 mg,Oral,angina,Bradycardia,Other drugs that lower heart rate or blood pressure can have additive effects Abrupt withdrawal may exacerbate angina pectoris or cause myocardial infarction.,Room Temperature,Animal studies have proved adverse effects but may be safe for humans,FDA Prescribing Information (Beta-blocker risk),Prescription
Nafcillin,Penicillin Antibiotic,Bacterial infections,Powder for Injection,1 g,Intravenous,Diarrhea,nausea,Warfarin metabolism is increased decreasing INR Can cause vein irritation and phlebitis with IV administration.,Room Temperature,Human studies have proved safety,FDA Prescribing Information,Prescription
Nalbuphine,Opioid Agonist-Antagonist,Pain,Solution,10 mg/mL,Intramuscular,Sedation,dizziness,CNS depressants may enhance sedative effects Can cause withdrawal in patients dependent on other opioids.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information (Opioid risk),Prescription
Naloxone,Opioid Antagonist,Opioid overdose,Solution,0.4 mg/mL,Intramuscular,Precipitated withdrawal,hypertension,No significant drug interactions Can precipitate acute withdrawal in patients dependent on opioids.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Naltrexone,Opioid Antagonist,Alcohol use disorder,Tablet,50 mg,Oral,opioid use disorder,Nausea,No significant drug interactions Can precipitate acute withdrawal in patients dependent on opioids.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Naproxen,NSAID,Pain,Tablet,500 mg,Oral,inflammation,dysmenorrhea,ACE inhibitors and ARBs may have diminished antihypertensive effect Increases risk of serious cardiovascular thrombotic events and GI bleeding.,Room Temperature,Positive evidence of fetus risks but benefits may outweigh risks in some cases,FDA Prescribing Information (NSAID risk),No prescription required/Prescription
Naratriptan,5-HT1 Agonist,Migraine attacks,Tablet,2.5 mg,Oral,Dizziness,drowsiness,Other 5-HT1 agonists can have additive effects Contraindicated in ischemic heart disease and uncontrolled hypertension.,Room Temperature,Contraindicated (not allowed),FDA Prescribing Information,Prescription
Nateglinide,Meglitinide,Type 2 diabetes,Tablet,120 mg,Oral,Hypoglycemia,weight gain,Drugs that increase hypoglycemia risk (eg beta-blockers) Can cause hypoglycemia.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Nebivolol,Beta-Blocker,Hypertension,Tablet,5 mg,Oral,Bradycardia,fatigue,Other drugs that lower heart rate or blood pressure can have additive effects Can cause bradycardia and heart failure.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information (Beta-blocker risk),Prescription
Nefazodone,Serotonin Antagonist and Reuptake Inhibitor (SARI),Depression,Tablet,100 mg,Oral,Sedation,dry mouth,MAOIs can cause serotonin syndrome and CYP3A4 inhibitors may increase levels Can cause rare but serious hepatotoxicity.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Nelfinavir,Protease Inhibitor,HIV infection,Tablet,625 mg,Oral,Diarrhea,nausea,Induces and inhibits various CYP450 enzymes affecting many drugs Can cause diarrhea and rash.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Neomycin,Aminoglycoside Antibiotic,Hepatic encephalopathy,Tablet,500 mg,Oral,topical infections,Nephrotoxicity,Other nephrotoxic or ototoxic drugs increase risk of toxicity Can cause ototoxicity and nephrotoxicity with systemic use.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information (Aminoglycoside risk of ototoxicity),Prescription
Neostigmine,Cholinesterase Inhibitor,Myasthenia gravis,Tablet,15 mg,Oral,reversal of neuromuscular blockade,Nausea,Other cholinergic agents can have additive effects Can cause bradycardia and bronchospasm.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Nevirapine,NNRTI,HIV infection,Tablet,200 mg,Oral,Rash,hepatotoxicity,Induces CYP3A4 decreasing levels of many drugs Can cause severe skin reactions and hepatotoxicity.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Niacin,Vitamin B3,Hyperlipidemia,Tablet,500 mg,Oral,niacin deficiency,Flushing,Statins may increase risk of myopathy Can cause profound flushing and hepatotoxicity.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,No prescription required/Prescription
Niacinamide,Vitamin B3,Niacin deficiency,Tablet,500 mg,Oral,Pruritus,flushing,No significant drug interactions Generally well-tolerated at recommended doses.,Room Temperature,Animal studies have demonstrated safety,Generally considered safe at recommended dietary amounts,No prescription required
Nicardipine,Dihydropyridine CCB,Hypertension,Capsule,30 mg,Oral,angina,Headache,Strong CYP3A4 inhibitors can significantly increase levels Can cause peripheral edema and reflex tachycardia.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Nifedipine,Dihydropyridine CCB,Hypertension,Capsule (ER),30 mg,Oral,angina,Peripheral edema,Strong CYP3A4 inhibitors can significantly increase levels Can cause peripheral edema and reflex tachycardia.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Nilotinib,Kinase Inhibitor,Chronic myeloid leukemia (CML),Capsule,200 mg,Oral,Myelosuppression,QT prolongation,Strong CYP3A4 inhibitors may increase levels and inducers may decrease levels Can cause QT prolongation and sudden death.,Room Temperature,Contraindicated (not allowed),FDA Prescribing Information,Prescription
Nimodipine,Dihydropyridine CCB,Prevention of vasospasm after subarachnoid hemorrhage,Capsule,30 mg,Oral,Hypotension,headache,Strong CYP3A4 inhibitors can significantly increase levels Must be administered orally via nasogastric tube if patient cannot swallow.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Nisoldipine,Dihydropyridine CCB,Hypertension,Tablet (ER),20 mg,Oral,Headache,peripheral edema,Strong CYP3A4 inhibitors can significantly increase levels Can cause peripheral edema and reflex tachycardia.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Nitazoxanide,Antiprotozoal,Diarrhea caused by Cryptosporidium or Giardia,Tablet,500 mg,Oral,Abdominal pain,headache,No significant drug interactions Can cause abdominal pain and diarrhea.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Nitrofurantoin,Antibiotic,Uncomplicated UTIs,Capsule,100 mg,Oral,Nausea,pulmonary fibrosis,Antacids may decrease absorption Can cause pulmonary fibrosis and peripheral neuropathy with long-term use.,Room Temperature,Positive evidence of fetus risks but benefits may outweigh risks in some cases,FDA Prescribing Information,Prescription
Nizatidine,H2 Blocker,Peptic ulcer disease,Capsule,150 mg,Oral,GERD,Headache,No significant drug interactions May cause confusion more commonly in elderly or severely ill patients.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,No prescription required
Norepinephrine,Alpha Agonist,Shock,Solution,1 mg/mL,Intravenous,hypotension,Tissue necrosis with extravasation,MAOIs can cause severe hypertension Extravasation can cause tissue necrosis and sloughing.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Norethindrone,Progestin,Contraception,Tablet,0.35 mg,Oral,abnormal uterine bleeding,Breakthrough bleeding,CYP3A4 inducers can decrease efficacy Can cause thromboembolic disorders.,Room Temperature,Positive evidence of fetus risks but benefits may outweigh risks in some cases,FDA Prescribing Information,Prescription
Norgestimate-Ethinyl Estradiol,Progestin + Estrogen,Contraception,Tablet,0.25/0.035 mg,Oral,Nausea,headache,CYP3A4 inducers (eg rifampin) can decrease efficacy and increase breakthrough bleeding Increases risk of thromboembolic disorders and stroke.,Room Temperature,Positive evidence of fetus risks but benefits may outweigh risks in some cases,FDA Prescribing Information,Prescription
Nortriptyline,Tricyclic Antidepressant,Depression,Capsule,25 mg,Oral,Dry mouth,sedation,MAOIs can cause serotonin syndrome and hyperpyrexia Strong anticholinergic effects may occur with other drugs Increased risk of suicide in children and young adults.,Room Temperature,Animal studies have proved adverse effects but may be safe for humans,FDA Prescribing Information,Prescription
Nystatin,Antifungal,Fungal infections (oral,000 unit/mL,100,Suspension,cutaneous),Nausea,No significant drug interactions For topical or oral use only not for systemic use.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Oral
Obinutuzumab,Monoclonal Antibody,Chronic lymphocytic leukemia (CLL),Solution,1000 mg/40 mL,Intravenous,Infusion reactions,myelosuppression,Hepatitis B virus reactivation can occur Can cause severe infusion reactions and tumor lysis syndrome.,Refrigerate,Contraindicated (not allowed),No data; potential for B-cell depletion in fetus,Prescription
Ofloxacin,Fluoroquinolone Antibiotic,Bacterial infections,Tablet,400 mg,Oral,Nausea,insomnia,Chelates with divalent cations (antacids Ca2+ Fe2+) reducing absorption May enhance effects of warfarin Associated with tendonitis and tendon rupture.,Room Temperature,Animal studies have proved adverse effects but may be safe for humans,FDA Prescribing Information (Arthropathy risk in animals),Prescription
Olanzapine,Atypical Antipsychotic,Schizophrenia,Tablet,10 mg,Oral,bipolar disorder,Weight gain,CNS depressants may enhance sedative effects Can cause metabolic changes including weight gain hyperlipidemia and hyperglycemia.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Olmesartan,ARB,Hypertension,Tablet,20 mg,Oral,Hyperkalemia,dizziness,NSAIDs may diminish the antihypertensive effect Lithium levels may be increased Use in pregnancy can cause injury and death to the developing fetus.,Room Temperature,Contraindicated (not allowed),FDA Prescribing Information (ARB risk),Prescription
Olodaterol,LABA,COPD,Inhaler,2.5 mcg/actuation,Inhalation,Headache,back pain,Other adrenergic drugs can have additive cardiovascular effects Can cause paradoxical bronchospasm and increase the risk of asthma-related death.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Olopatadine,Antihistamine / Mast Cell Stabilizer,Allergic conjunctivitis,Solution,0.20%,Ophthalmic,Headache,dry eyes,No significant drug interactions For ophthalmic use only may cause mild transient burning or stinging.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Omeprazole,Proton Pump Inhibitor,GERD,Capsule (DR),20 mg,Oral,erosive esophagitis,Headache,Can reduce absorption of drugs requiring gastric pH for absorption (eg ketoconazole) May increase risk of Clostridium difficile-associated diarrhea and bone fractures with long-term use.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,No prescription required/Prescription
Ondansetron,5-HT3 Antagonist,Chemotherapy-induced nausea/vomiting,Tablet,8 mg,Oral,Headache,constipation,Drugs that prolong the QT interval may have additive effects Can cause QT prolongation and subsequent arrhythmias.,Room Temperature,Human studies have proved safety,FDA Prescribing Information,Prescription
Orlistat,Lipase Inhibitor,Obesity management,Capsule,60 mg,Oral,Oily spotting,flatus with discharge,Can reduce absorption of fat-soluble vitamins (A D E K) Can cause steatorrhea and fecal incontinence.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,No prescription required
Orphenadrine,Skeletal Muscle Relaxant,Muscle spasms,Tablet (ER),100 mg,Oral,Dry mouth,blurred vision,Other anticholinergic drugs can have additive effects Can cause drowsiness and dry mouth.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Oseltamivir,Neuraminidase Inhibitor,Influenza,Capsule,75 mg,Oral,Nausea,vomiting,No significant drug interactions May cause nausea and vomiting and rare neuropsychiatric events.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Oxacillin,Penicillin Antibiotic,Bacterial infections,Capsule,500 mg,Oral,Diarrhea,nausea,Probenecid may decrease excretion Serious and occasionally fatal hypersensitivity reactions have been reported.,Room Temperature,Human studies have proved safety,FDA Prescribing Information,Prescription
Oxaliplatin,Alkylating Agent,Colorectal cancer,Solution,5 mg/mL,Intravenous,Neurotoxicity,nausea,Other nephrotoxic drugs may enhance platinum-induced renal toxicity Can cause peripheral sensory neuropathy and pharyngolaryngeal dysesthesia.,Room Temperature,Contraindicated (not allowed),FDA Prescribing Information,Prescription
Oxaprozin,NSAID,Osteoarthritis,Tablet,600 mg,Oral,rheumatoid arthritis,GI upset,ACE inhibitors and ARBs may have diminished antihypertensive effect Increases risk of serious cardiovascular thrombotic events and GI bleeding.,Room Temperature,Positive evidence of fetus risks but benefits may outweigh risks in some cases,FDA Prescribing Information (NSAID risk),Prescription
Oxazepam,Benzodiazepine,Anxiety disorders,Capsule,15 mg,Oral,alcohol withdrawal,Sedation,CNS depressants including alcohol and opioids increase sedation risk Abrupt discontinuation can cause withdrawal symptoms.,Room Temperature,Positive evidence of fetus risks but benefits may outweigh risks in some cases,FDA Prescribing Information,Prescription
Oxcarbazepine,Anticonvulsant,Seizures,Tablet,300 mg,Oral,Dizziness,diplopia,Strong CYP3A4 inducers may decrease levels of active metabolite Can cause hyponatremia and cross-hypersensitivity with carbamazepine.,Room Temperature,Animal studies have proved adverse effects but may be safe for humans,FDA Prescribing Information,Prescription
Oxybutynin,Anticholinergic,Overactive bladder,Tablet,5 mg,Oral,Dry mouth,constipation,Other anticholinergic drugs can have additive effects Can cause blurred vision and urinary retention.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
