unii,name,classes,usage,side_effects,contraindications
II1,Metronidazole,"Nitroimidazole antibiotic/antiprotozoal",Treatment of anaerobic and protozoal infections,"Metallic taste, nausea, disulfiram-like reaction with alcohol",Avoid alcohol during and for 3 days after treatment.
JJ1,Miconazole,"Azole antifungal",Topical treatment of fungal infections,"Burning, itching, irritation",Available in many topical formulations (cream, powder, vaginal).
KK1,Midazolam,"Benzodiazepine",Sedation, anxiolysis, amnesia before medical procedures,"Respiratory depression, hypotension",Administered IV, IM, or intranasally.
LL1,Midodrine,"Alpha-1 agonist",Treatment of orthostatic hypotension,"Supine hypertension, paresthesias, pruritus",Should not be taken after the evening meal or before bedtime.
MM1,Miglustat,"Glucosylceramide synthase inhibitor",Treatment of Gaucher disease type 1,"Diarrhea, weight loss, tremor",N/A
NN1,Milnacipran,"SNRI antidepressant",Treatment of fibromyalgia,"Nausea, headache, insomnia",Not approved for depression in the US.
OO1,Milrinone,"Phosphodiesterase-3 inhibitor",Short-term IV treatment of acute decompensated heart failure,"Ventricular arrhythmias, hypotension",N/A
PP1,Minocycline,"Tetracycline antibiotic",Treatment of acne and various bacterial infections,"Dizziness, photosensitivity, drug-induced lupus",Can cause bluish-gray skin discoloration.
QQ1,Minoxidil,"Vasodilator/Hair growth stimulant",Treatment of hypertension (oral); treatment of androgenetic alopecia (topical),"Reflex tachycardia, fluid retention (oral); scalp itching, unwanted hair growth (topical)",N/A
RR1,Mirtazapine,"Atypical antidepressant",Treatment of depression,"Sedation, increased appetite, weight gain",Often used for depression with insomnia or low appetite.
SS1,Mirabegron,"Beta-3 adrenergic agonist",Treatment of overactive bladder (OAB),"Hypertension, nasopharyngitis, UTI",Can increase blood pressure.
TT1,Mitomycin,"Antitumor antibiotic",Treatment of various cancers,"Myelosuppression, hemolytic uremic syndrome",Vesicant; can cause severe tissue damage if it extravasates.
UU1,Mitoxantrone,"Anthracenedione",Treatment of multiple sclerosis and certain cancers,"Cardiotoxicity, myelosuppression, blue-green discoloration of urine/sclera",N/A
VV1,Modafinil,"Wakefulness-promoting agent",Treatment of narcolepsy, sleep apnea, and shift work sleep disorder,"Headache, nausea, anxiety","Serious rash (Stevens-Johnson Syndrome)"
WW1,Mometasone,"Corticosteroid",Topical, nasal, and inhaled use for skin conditions, rhinitis, and asthma,"Nasal irritation, headache, pharyngitis",N/A
XX1,Montelukast,"Leukotriene receptor antagonist",Treatment of asthma and allergic rhinitis,"Headache, neuropsychiatric events (boxed warning)",Monitor for behavior and mood-related changes.
YY1,Morphine,"Opioid analgesic",Management of severe pain,"Respiratory depression, constipation, sedation",The standard against which other opioids are compared.
ZZ1,Moxifloxacin,"Fluoroquinolone antibiotic",Treatment of bacterial infections,"Nausea, diarrhea, QT prolongation",Risk of tendinitis and tendon rupture.
A12,Mupirocin,"Antibiotic",Topical treatment of impetigo and to eradicate nasal colonization with MRSA,"Burning, stinging, itching at application site",N/A
B12,Mycophenolate,"Immunosuppressant",Prevention of organ transplant rejection,"Diarrhea, leukopenia, increased risk of infections","Increased risk of birth defects and miscarriage (boxed warning)"
C12,Nabumetone,"NSAID",Relief of pain and inflammation,"GI upset, increased risk of cardiovascular events",Prodrug.
D12,Nadolol,"Beta-blocker (non-selective)",Treatment of hypertension and angina,"Bradycardia, fatigue, bronchospasm",Long half-life.
E12,Nafcillin,"Penicillinase-resistant penicillin",Treatment of infections caused by penicillinase-producing staphylococci,"Rash, interstitial nephritis",Administered IV.
F12,Nalbuphine,"Opioid agonist-antagonist",Relief of moderate to severe pain,"Sedation, nausea, sweating",Has a ceiling effect for respiratory depression.
G12,Naloxone,"Opioid antagonist",Reversal of opioid overdose,"Opioid withdrawal symptoms in dependent individuals",Available as injectable and nasal spray.
H12,Naltrexone,"Opioid antagonist",Treatment of alcohol and opioid dependence,"Nausea, headache, hepatotoxicity",Patient must be opioid-free before starting.
I12,Naproxen,"NSAID",Relief of pain, fever, and inflammation,"GI upset, increased risk of cardiovascular events and GI bleeding",Available over-the-counter and by prescription.
J12,Naratriptan,"5-HT1 receptor agonist (triptan)",Acute treatment of migraine,"Dizziness, fatigue, paresthesias",Slower onset and better tolerated than sumatriptan.
K12,Natalizumab,"Integrin receptor antagonist",Treatment of multiple sclerosis and Crohn's disease,"Progressive multifocal leukoencephalopathy (PML) (boxed warning), infusion reactions",Available only through a restricted distribution program.
L12,Nateglinide,"Meglitinide",Improves glycemic control in type 2 diabetes,"Hypoglycemia, upper respiratory infection",Take before meals.
M12,Nedocromil,"Mast cell stabilizer",Maintenance therapy for mild to moderate asthma,"Unpleasant taste, headache, cough",Less commonly used now.
N12,Nelarabine,"Antineoplastic agent",Treatment of T-cell acute lymphoblastic leukemia and T-cell lymphoblastic lymphoma,"Neurotoxicity, myelosuppression",N/A
O12,Nelfinavir,"Protease inhibitor",Treatment of HIV infection,"Diarrhea",No longer a preferred agent.
P12,Neomycin,"Aminoglycoside antibiotic",Topical use for skin infections; oral use for bowel decontamination,"Ototoxicity and nephrotoxicity with systemic absorption, contact dermatitis",N/A
Q12,Nepafenac,"NSAID",Ophthalmic treatment of pain and inflammation associated with cataract surgery,"Delayed wound healing, foreign body sensation",N/A
R12,Neratinib,"Kinase inhibitor",Extended adjuvant treatment of HER2-positive breast cancer,"Severe diarrhea, hepatotoxicity",Prophylaxis for diarrhea is recommended.
S12,Netilmicin,Aminoglycoside antibiotic,Treatment of serious bacterial infections,"Nephrotoxicity, ototoxicity",Less commonly used.
T12,Nevirapine,"NNRTI",Treatment of HIV-1 infection,"Severe hepatotoxicity and skin reactions (boxed warning)",Requires a 14-day lead-in period to reduce rash risk.
U12,Niacin (Vitamin B3),Lipid-lowering agent/Vitamin,Lowers triglycerides and LDL, raises HDL; treats niacin deficiency,"Flushing, itching, GI upset",Flushing can be reduced by taking aspirin 30 minutes prior.
V12,Nicardipine,"Calcium channel blocker",Treatment of hypertension and angina,"Headache, flushing, edema",Available as IV for hypertensive emergencies.
W12,Nicotine,Stimulant/Smoking cessation aid,Relief of nicotine withdrawal symptoms,"Tachycardia, nausea, local irritation (depending on formulation)",Available as gum, patch, lozenge, inhaler, nasal spray.
X12,Nifedipine,"Calcium channel blocker",Treatment of hypertension and angina,"Peripheral edema, flushing, gingival hyperplasia",Short-acting formulations can cause profound hypotension and are generally avoided.
Y12,Nilotinib,"Kinase inhibitor (BCR-ABL inhibitor)",Treatment of chronic myeloid leukemia (CML),"QT prolongation (boxed warning), myelosuppression, elevated lipase",Take on an empty stomach.
Z12,Nilutamide,"Androgen receptor inhibitor",Treatment of metastatic prostate cancer (with surgical castration),"Delayed adaptation to darkness, interstitial pneumonitis, hepatotoxicity",N/A
A13,Nimodipine,"Calcium channel blocker",Improves neurological outcome after subarachnoid hemorrhage,"Hypotension",Specifically for cerebral vasospasm; do not administer IV.
B13,Nintedanib,"Kinase inhibitor",Treatment of idiopathic pulmonary fibrosis (IPF) and other interstitial lung diseases,"Diarrhea, nausea, elevated liver enzymes",N/A
C13,Niraparib,"PARP inhibitor",Maintenance treatment of ovarian cancer and other cancers,"Myelosuppression, hypertension, fatigue",N/A
D13,Nisoldipine,"Calcium channel blocker",Treatment of hypertension,"Peripheral edema, headache, flushing",N/A
E13,Nitazoxanide,"Antiprotozoal",Treatment of diarrhea caused by Giardia or Cryptosporidium,"Abdominal pain, headache, nausea",N/A
F13,Nitrofurantoin,"Antibiotic",Treatment and prevention of urinary tract infections (UTIs),"Nausea, pulmonary reactions (acute and chronic), hepatotoxicity",Contraindicated in severe renal impairment (CrCl < 60 mL/min).
G13,Nitroglycerin,"Nitrate vasodilator",Treatment and prevention of angina pectoris,"Headache, hypotension, dizziness",Tolerance can develop with continuous use.
H13,Norepinephrine,"Adrenergic agonist",Treatment of shock and severe hypotension,"Hypertension, arrhythmias, peripheral ischemia",Potent vasoconstrictor.
I13,Norelgestromin,"Progestin",Component of a combination contraceptive patch,"Application site reactions, breast tenderness, headache",N/A
J13,Norethindrone,"Progestin",Used in oral contraceptives and for treatment of abnormal uterine bleeding,"Irregular bleeding, headache",N/A
K13,Nortriptyline,"Tricyclic antidepressant",Treatment of depression,"Drowsiness, dry mouth, constipation",Metabolite of amitriptyline.
L13,Nystatin,"Antifungal",Treatment of Candida infections (oral, skin, vaginal),"Nausea (oral use); local irritation",Not absorbed from the GI tract.
M13,Ofatumumab,"Anti-CD20 monoclonal antibody",Treatment of chronic lymphocytic leukemia (CLL) and multiple sclerosis,"Infusion reactions, myelosuppression, increased risk of infections",N/A
N13,Ofloxacin,"Fluoroquinolone antibiotic",Treatment of various bacterial infections; ophthalmic and otic use,"Nausea, photosensitivity, tendinitis risk",N/A
O13,Olanzapine,"Atypical antipsychotic",Treatment of schizophrenia and bipolar disorder,"Weight gain, somnolence, metabolic changes (hyperglycemia, hyperlipidemia)",Risk of post-injection delirium/sedation syndrome with long-acting injection.
P13,Olaparib,"PARP inhibitor",Treatment of ovarian, breast, and other cancers with BRCA mutations,"Anemia, fatigue, nausea",N/A
Q13,Olmesartan,"Angiotensin II receptor blocker (ARB)",Treatment of hypertension,"Dizziness, risk of sprue-like enteropathy",Avoid in pregnancy.
R13,Olodaterol,"Long-acting beta-2 agonist (LABA)",Long-term maintenance treatment of COPD,"Nasopharyngitis, cough",Inhaled once daily.
S13,Oloratadine,N/A,N/A,N/A,N/A
T13,Omacetaxine,"Protein synthesis inhibitor",Treatment of chronic myeloid leukemia (CML) when resistant to other therapies,"Myelosuppression, bleeding, hyperglycemia",N/A
U13,Omalizumab,"Anti-IgE monoclonal antibody",Treatment of moderate to severe allergic asthma and chronic idiopathic urticaria,"Anaphylaxis (boxed warning), injection site reactions, headache",Administered subcutaneously.
V13,Ombitasvir/paritaprevir/ritonavir,Direct-acting antiviral combination,Treatment of chronic hepatitis C (used with or without dasabuvir),"Fatigue, nausea, risk of hepatic decompensation",Complex regimen with multiple drug interactions.
W13,Omeprazole,"Proton pump inhibitor (PPI)",Treatment of GERD, ulcers, and Zollinger-Ellison syndrome,"Headache, diarrhea, abdominal pain",Available over-the-counter and by prescription.
X13,Ondansetron,"5-HT3 receptor antagonist",Prevention of nausea and vomiting,"Headache, constipation, QT prolongation",N/A
Y13,Oritavancin,"Lipoglycopeptide antibiotic",Treatment of acute bacterial skin and skin structure infections (ABSSSI),"Nausea, headache, infusion reactions",Single-dose IV infusion.
Z13,Orlistat,"Lipase inhibitor",Weight loss agent,"Oily spotting, flatus with discharge, fecal urgency",Interferes with absorption of fat-soluble vitamins.
A14,Oseltamivir,"Neuraminidase inhibitor",Treatment and prevention of influenza,"Nausea, vomiting, headache",Most effective when started within 48 hours of symptom onset.
B14,Osimertinib,"Kinase inhibitor (EGFR inhibitor)",Treatment of EGFR-mutated non-small cell lung cancer,"Diarrhea, rash, cardiotoxicity",Effective against T790M resistance mutation.
C14,Oxacillin,"Penicillinase-resistant penicillin",Treatment of infections caused by penicillinase-producing staphylococci,"Rash, diarrhea",Administered IV.
D14,Oxaliplatin,"Platinum-based chemotherapy",Treatment of colorectal cancer,"Peripheral neuropathy (can be acute and cold-induced), myelosuppression",N/A
E14,Oxandrolone,"Anabolic steroid",Promote weight gain after surgery or chronic infection,"Hepatotoxicity, virilization in females",Controlled substance.
F14,Oxaprozin,"NSAID",Relief of pain and inflammation, particularly for arthritis,"GI upset, photosensitivity",Long half-life.
G14,Oxazepam,"Benzodiazepine",Management of anxiety and alcohol withdrawal,"Drowsiness, dizziness",Metabolized by conjugation, so safer in liver disease than some other benzodiazepines.
H14,Oxcarbazepine,"Anticonvulsant",Treatment of partial-onset seizures,"Dizziness, somnolence, hyponatremia",Chemically related to carbamazepine but with a better side effect profile for some.
I14,Oxybutynin,"Anticholinergic",Treatment of overactive bladder (OAB),"Dry mouth, constipation, drowsiness",Available as oral and transdermal patch.
J14,Oxycodone,"Opioid analgesic",Relief of moderate to severe pain,"Constipation, nausea, sedation, respiratory depression",High potential for abuse.
K14,Oxymetazoline,"Adrenergic agonist (vasoconstrictor)",Nasal decongestant,"Rebound congestion with prolonged use, nasal stinging",Should not be used for more than 3 days.
L14,Oxymorphone,"Opioid analgesic",Management of severe pain,"Respiratory depression, sedation, constipation",More potent than morphine.
M14,Paclitaxel,"Taxane",Treatment of various cancers, including ovarian, breast, and lung cancer,"Myelosuppression, peripheral neuropathy, hypersensitivity reactions",Requires premedication to prevent hypersensitivity. Some formulations are albumin-bound (nab-paclitaxel).
N14,Palbociclib,"CDK4/6 inhibitor",Treatment of HR-positive, HER2-negative breast cancer (with an aromatase inhibitor or fulvestrant),"Neutropenia, fatigue, nausea",Monitor blood counts.
O14,Paliperidone,"Atypical antipsychotic",Treatment of schizophrenia and schizoaffective disorder,"Extrapyramidal symptoms, hyperprolactinemia, somnolence",Active metabolite of risperidone; available as long-acting injection.
P14,Palonosetron,"5-HT3 receptor antagonist",Prevention of chemotherapy-induced nausea and vomiting,"Headache, constipation",Longer half-life than other agents in its class.
Q14,Pamidronate,"Bisphosphonate",Treatment of hypercalcemia of malignancy and bone metastases,"Fever, flu-like symptoms, hypocalcemia",Administered by IV infusion.
R14,Pancrelipase,"Pancreatic enzymes",Replacement therapy for pancreatic exocrine insufficiency (e.g., in cystic fibrosis),"Abdominal pain, flatulence, fibrosing colonopathy (high doses)",Take with meals.
S14,Panitumumab,"EGFR inhibitor",Treatment of RAS wild-type metastatic colorectal cancer,"Dermatologic toxicities (rash), infusion reactions",N/A
T14,Panobinostat,"Histone deacetylase (HDAC) inhibitor",Treatment of multiple myeloma (in combination with bortezomib and dexamethasone),"Severe diarrhea and cardiac events (boxed warnings), myelosuppression",Monitor ECG and electrolytes.
U14,Pantoprazole,"Proton pump inhibitor (PPI)",Treatment of GERD and ulcers,"Headache, diarrhea",N/A
V14,Paroxetine,"SSRI antidepressant",Treatment of depression, anxiety disorders, and OCD,"Nausea, drowsiness, sexual dysfunction",Potent inhibitor of CYP2D6; can have more withdrawal symptoms.
W14,Pasireotide,"Somatostatin analog",Treatment of Cushing's disease and acromegaly,"Hyperglycemia, diarrhea, nausea",More potent than octreotide at inhibiting ACTH.
X14,Pazopanib,"Kinase inhibitor",Treatment of renal cell carcinoma and soft tissue sarcoma,"Hepatotoxicity (boxed warning), hypertension, diarrhea",N/A
Y14,Pegfilgrastim,"Long-acting G-CSF",Prophylaxis of chemotherapy-induced neutropenia,"Bone pain",Single injection per chemotherapy cycle.
Z14,Peginterferon alfa,"Pegylated interferon",Treatment of chronic hepatitis B and C,"Flu-like symptoms, depression, myelosuppression",Longer half-life than standard interferon.
A15,Pemetrexed,"Folate antimetabolite",Treatment of mesothelioma and non-small cell lung cancer,"Myelosuppression, rash, fatigue",Supplement with folic acid and vitamin B12 to reduce toxicity.
B15,Pemoline,"Stimulant",Treatment of ADHD (largely discontinued),"Hepatotoxicity (boxed warning), insomnia, anorexia",Use has been restricted due to liver toxicity.
C15,Penicillamine,"Chelating agent",Treatment of Wilson's disease, rheumatoid arthritis, and cystinuria,"Myelosuppression, autoimmune diseases, rash",N/A
D15,Penicillin G,Penicillin antibiotic,Treatment of various bacterial infections, especially syphilis,"Allergic reactions",The prototypical penicillin.
E15,Penicillin V,Penicillin antibiotic,Treatment of various bacterial infections, e.g., strep throat,"Allergic reactions, GI upset",Oral formulation of penicillin.
F15,Pentamidine,"Antiprotozoal",Treatment and prevention of Pneumocystis jirovecii pneumonia (PJP),"Nephrotoxicity, hypotension, pancreatitis",Administered IV or by inhalation.
G15,Pentobarbital,"Barbiturate",Treatment of seizures, pre-operative sedation, and induction of coma for cerebral edema,"Respiratory depression, hypotension, dependence",Controlled substance.
H15,Pentosan polysulfate,"Heparinoid",Relief of bladder pain or discomfort associated with interstitial cystitis,"Alopecia, diarrhea, nausea",Risk of pigmentary maculopathy with long-term use.
I15,Pentoxifylline,"Hemorheologic agent",Treatment of intermittent claudication,"Nausea, dizziness",Improves blood flow by decreasing blood viscosity.
J15,Perampanel,"AMPA receptor antagonist",Adjunctive treatment of partial-onset seizures and primary generalized tonic-clonic seizures,"Serious psychiatric and behavioral reactions (boxed warning), dizziness, somnolence",N/A
K15,Perindopril,"ACE inhibitor",Treatment of hypertension and stable coronary artery disease,"Cough, dizziness",N/A
L15,Perphenazine,"Typical antipsychotic",Treatment of schizophrenia,"Extrapyramidal symptoms, sedation",N/A
M15,Pertuzumab,"HER2 dimerization inhibitor",Treatment of HER2-positive breast cancer (in combination with trastuzumab and chemotherapy),"Diarrhea, neutropenia, cardiotoxicity",N/A
N15,Phenelzine,"MAO inhibitor (non-selective)",Treatment of depression,"Orthostatic hypotension, dizziness, hypertensive crisis with tyramine-rich foods",Many food and drug interactions.
O15,Phenobarbital,"Barbiturate",Treatment of various seizure disorders,"Sedation, cognitive impairment, dependence",Inducer of many CYP enzymes.
P15,Phenoxybenzamine,"Alpha-blocker (non-selective, irreversible)",Management of pheochromocytoma,"Orthostatic hypotension, reflex tachycardia, nasal congestion",N/A
Q15,Phentermine,"Sympathomimetic amine (appetite suppressant)",Short-term management of obesity,"Tachycardia, hypertension, insomnia",Controlled substance.
R15,Phentolamine,"Alpha-blocker (non-selective, reversible)",Diagnosis and treatment of pheochromocytoma; reversal of soft tissue anesthesia,"Hypotension, tachycardia",N/A
S15,Phenylephrine,"Alpha-1 adrenergic agonist",Nasal decongestant (oral, nasal) and vasopressor (IV),"Hypertension, reflex bradycardia, anxiety",N/A
T15,Phenytoin,"Anticonvulsant",Treatment of various seizure disorders,"Gingival hyperplasia, hirsutism, nystagmus",Non-linear kinetics; requires therapeutic drug monitoring.
U15,Pioglitazone,"Thiazolidinedione (TZD)",Improves glycemic control in type 2 diabetes,"Edema, weight gain, increased risk of bladder cancer and fractures",Can exacerbate heart failure (boxed warning).
V15,Piperacillin/tazobactam,Penicillin antibiotic + beta-lactamase inhibitor,Treatment of moderate to severe bacterial infections,"Diarrhea, rash, nausea",Broad-spectrum antibiotic.
W15,Pirfenidone,"Antifibrotic agent",Treatment of idiopathic pulmonary fibrosis (IPF),"Rash, nausea, hepatotoxicity",Take with food.
X15,Piroxicam,"NSAID",Relief of pain and inflammation,"High risk of GI bleeding and skin reactions",Long half-life.
Y15,Pomalidomide,"Immunomodulatory agent",Treatment of multiple myeloma,"Thromboembolism, myelosuppression, severe birth defects (boxed warning)",Similar to thalidomide and lenalidomide; requires REMS program.
Z15,Ponatinib,"Kinase inhibitor",Treatment of CML and Ph+ ALL resistant to other therapies,"Arterial and venous thrombosis and occlusions (boxed warning), hepatotoxicity",Indicated for patients with the T315I mutation.
AA2,Posaconazole,"Azole antifungal",Prophylaxis and treatment of invasive fungal infections,"Nausea, QT prolongation, hepatotoxicity",Absorption is improved with a high-fat meal.
BB2,Pramipexole,"Dopamine agonist",Treatment of Parkinson's disease and restless legs syndrome,"Somnolence (including sudden sleep attacks), nausea, hallucinations",N/A
CC2,Pramlintide,"Amylin analog",Adjunctive treatment for type 1 and type 2 diabetes,"Severe hypoglycemia (when used with insulin; boxed warning), nausea",Administered subcutaneously before meals.
DD2,Prasugrel,"Antiplatelet agent",Reduces thrombotic events in patients with acute coronary syndrome undergoing PCI,"Bleeding (higher risk than clopidogrel; boxed warning)",Contraindicated in patients with a history of stroke or TIA.
EE2,Pravastatin,"HMG-CoA reductase inhibitor (statin)",Lowers high cholesterol levels,"Generally well-tolerated; myopathy risk exists",Less likely to have drug interactions via CYP enzymes.
FF2,Praziquantel,"Anthelmintic",Treatment of schistosome and liver fluke infections,"Dizziness, headache, nausea",N/A
GG2,Prazosin,"Alpha-1 blocker",Treatment of hypertension,"First-dose syncope, dizziness",Also used off-label for PTSD-related nightmares.
HH2,Prednisolone,"Corticosteroid",Treatment of inflammatory and autoimmune conditions,"Many side effects with systemic use",N/A
II2,Prednisone,"Corticosteroid",Treatment of inflammatory and autoimmune conditions,"Many side effects with systemic use",Prodrug converted to prednisolone in the liver.
JJ2,Pregabalin,"Anticonvulsant/Neuropathic pain agent",Treatment of neuropathic pain, fibromyalgia, and seizures,"Dizziness, somnolence, peripheral edema",Controlled substance.
KK2,Probenecid,"Uricosuric agent",Treatment of gout; increases levels of some antibiotics (e.g., penicillin),"GI upset, rash",Do not start during an acute gout attack.
LL2,Procarbazine,"Alkylating agent",Treatment of Hodgkin lymphoma,"Myelosuppression, nausea, secondary malignancies",Weak MAO inhibitor; has food and drug interactions.
MM2,Prochlorperazine,"Typical antipsychotic/antiemetic",Treatment of severe nausea and vomiting; anxiety and schizophrenia,"Sedation, extrapyramidal symptoms",N/A
NN2,Promethazine,"Antihistamine/antiemetic",Treatment of nausea, allergies, and motion sickness; sedative,"Profound sedation, respiratory depression (boxed warning in children <2)",N/A
OO2,Propafenone,"Antiarrhythmic",Prevention of various arrhythmias,"Dizziness, unusual taste, proarrhythmic effects",Has beta-blocking activity.
PP2,Propranolol,"Beta-blocker (non-selective)",Treatment of hypertension, angina, arrhythmias, and migraine prophylaxis,"Bradycardia, fatigue, bronchospasm",Used for performance anxiety.
QQ2,Propylthiouracil (PTU),"Thionamide",Treatment of hyperthyroidism,"Severe liver injury (boxed warning), rash, agranulocytosis",Preferred agent in the 1st trimester of pregnancy, but methimazole is preferred otherwise.
RR2,Protamine,Antidote,Reversal of heparin anticoagulation,"Hypotension, anaphylactoid reactions",N/A
SS2,Protriptyline,"Tricyclic antidepressant",Treatment of depression,"Activating (can cause insomnia), dry mouth, constipation",N/A
TT2,Pseudoephedrine,"Decongestant",Relief of nasal congestion,"Tachycardia, insomnia, nervousness",Regulated due to its use in the illicit manufacture of methamphetamine.
UU2,Psyllium,Bulk-forming laxative,Treatment of constipation,"Bloating, flatulence",Take with plenty of water.
VV2,Pyrazinamide,"Antimycobacterial",Treatment of tuberculosis (part of a multi-drug regimen),"Hepatotoxicity, hyperuricemia",N/A
WW2,Pyridostigmine,"Cholinesterase inhibitor",Treatment of myasthenia gravis,"Salivation, lacrimation, urination, defecation, GI distress (SLUDGE effects)",N/A
XX2,Quetiapine,"Atypical antipsychotic",Treatment of schizophrenia, bipolar disorder, and as an adjunct for depression,"Somnolence, weight gain, metabolic changes",N/A
YY2,Quinapril,"ACE inhibitor",Treatment of hypertension and heart failure,"Cough, dizziness",N/A
ZZ2,Quinidine,"Antiarrhythmic",Treatment of malaria and arrhythmias,"Diarrhea, tinnitus (cinchonism), proarrhythmic effects",Many drug interactions.
A16,Quinine,"Antimalarial",Treatment of uncomplicated malaria,"Cinchonism (tinnitus, headache, dizziness), hemolytic anemia in G6PD deficiency",No longer recommended for leg cramps.
B16,Raltegravir,"Integrase inhibitor",Treatment of HIV-1 infection,"Nausea, headache, elevated CPK",N/A
C16,Ramipril,"ACE inhibitor",Treatment of hypertension and heart failure,"Cough, dizziness",N/A
D16,Ranitidine,"H2 receptor antagonist",Treatment of heartburn and ulcers,"Headache, constipation",Largely withdrawn from the market due to contamination with NDMA.
E16,Ranolazine,"Late sodium current inhibitor",Treatment of chronic angina,"Dizziness, headache, constipation",Prolongs the QT interval.
F16,Rasagiline,"MAO-B inhibitor",Treatment of Parkinson's disease,"Headache, arthralgia",N/A
G16,Reboxetine,Norepinephrine reuptake inhibitor,Treatment of depression (not available in the US),"Insomnia, dry mouth, constipation",N/A
H16,Regorafenib,"Kinase inhibitor",Treatment of colorectal cancer, GIST, and hepatocellular carcinoma,"Hand-foot skin reaction, hepatotoxicity (boxed warning), fatigue",N/A
I16,Relugolix,"GnRH antagonist",Treatment of advanced prostate cancer and uterine fibroids,"Hot flashes, fatigue",Oral GnRH antagonist.
J16,Remdesivir,"Antiviral",Treatment of COVID-19,"Nausea, elevated liver enzymes",Administered IV.
K16,Repaglinide,"Meglitinide",Improves glycemic control in type 2 diabetes,"Hypoglycemia, upper respiratory infection",Take before meals.
L16,Reserpine,"Adrenergic depleting agent",Treatment of hypertension (rarely used),"Depression, sedation, nasal congestion",N/A
M16,Retapamulin,"Pleuromutilin antibiotic",Topical treatment of impetigo,"Application site irritation",N/A
N16,Retigabine (Ezogabine),"Potassium channel opener",Adjunctive treatment of partial-onset seizures,"Retinal abnormalities and skin discoloration (boxed warnings), dizziness, somnolence",Withdrawn from the market.
O16,Ribavirin,"Antiviral",Treatment of chronic hepatitis C and other viral infections,"Hemolytic anemia (boxed warning), teratogenic (boxed warning)",Contraindicated in pregnancy and male partners of pregnant women.
P16,Ribociclib,"CDK4/6 inhibitor",Treatment of HR-positive, HER2-negative breast cancer,"Neutropenia, QT prolongation, hepatotoxicity",Monitor ECG, electrolytes, and liver function.
Q16,Rifabutin,"Rifamycin",Prevention of MAC disease in AIDS patients; treatment of tuberculosis,"Rash, neutropenia, uveitis",Inducer of CYP3A4, but less potent than rifampin.
R16,Rifampin (Rifampicin),"Rifamycin",Treatment of tuberculosis, leprosy, and other infections,"Hepatotoxicity, red-orange discoloration of body fluids",Potent inducer of many CYP enzymes, leading to numerous drug interactions.
S16,Rifaximin,"Rifamycin antibiotic",Treatment of traveler's diarrhea, IBS-D, and reduction of hepatic encephalopathy recurrence,"Peripheral edema, dizziness, nausea",Minimally absorbed systemically.
T16,Rilonacept,"Interleukin-1 blocker",Treatment of cryopyrin-associated periodic syndromes (CAPS),"Injection site reactions, upper respiratory tract infections",N/A
U16,Rilpivirine,"NNRTI",Treatment of HIV-1 infection,"Depressive disorders, insomnia, headache",Requires an acidic environment for absorption; contraindicated with PPIs.
V16,Riociguat,"Soluble guanylate cyclase stimulator",Treatment of pulmonary arterial hypertension (PAH) and CTEPH,"Hypotension, headache, dizziness","Pregnancy (boxed warning)"
W16,Risedronate,"Bisphosphonate",Treatment and prevention of osteoporosis,"Esophagitis, musculoskeletal pain",Requires specific administration instructions (e.g., stay upright).
X16,Risperidone,"Atypical antipsychotic",Treatment of schizophrenia and bipolar disorder,"Extrapyramidal symptoms, hyperprolactinemia, weight gain",Available as a long-acting injection.
Y16,Ritonavir,"Protease inhibitor/Pharmacokinetic enhancer",Treatment of HIV infection (primarily as a booster for other PIs),"GI intolerance, hyperlipidemia",Potent inhibitor of CYP3A4.
Z16,Rituximab,"Anti-CD20 monoclonal antibody",Treatment of non-Hodgkin's lymphoma, CLL, and rheumatoid arthritis,"Infusion reactions, severe mucocutaneous reactions, PML (boxed warnings)",N/A
AA3,Rivaroxaban,"Factor Xa inhibitor",Prevention and treatment of blood clots,"Bleeding",Doses > 15mg should be taken with food.
BB3,Rivastigmine,"Cholinesterase inhibitor",Treatment of Alzheimer's and Parkinson's disease dementia,"Nausea, vomiting, diarrhea",Available as a transdermal patch which has better GI tolerability.
CC3,Rizatriptan,"5-HT1 receptor agonist (triptan)",Acute treatment of migraine,"Dizziness, somnolence, chest tightness",Available as oral disintegrating tablet.
DD3,Rocuronium,"Nondepolarizing neuromuscular blocker",Skeletal muscle relaxation during surgery or mechanical ventilation,"Transient hypotension or hypertension",Antidote is sugammadex.
EE3,Roflumilast,"Phosphodiesterase-4 inhibitor",Reduces COPD exacerbations,"Diarrhea, weight loss, nausea",Associated with psychiatric events.
FF3,Romidepsin,"Histone deacetylase (HDAC) inhibitor",Treatment of cutaneous and peripheral T-cell lymphoma,"Myelosuppression, QT prolongation, infections",N/A
GG3,Ropinirole,"Dopamine agonist",Treatment of Parkinson's disease and restless legs syndrome,"Somnolence (including sudden sleep attacks), nausea, orthostatic hypotension",N/A
HH3,Ropivacaine,"Local anesthetic",Surgical anesthesia and pain management,"Hypotension, nausea",Similar to bupivacaine, possibly less cardiotoxic.
II3,Rosiglitazone,"Thiazolidinedione (TZD)",Improves glycemic control in type 2 diabetes,"Edema, increased risk of heart failure (boxed warning), fractures",Use is highly restricted due to cardiovascular concerns.
JJ3,Rosuvastatin,"HMG-CoA reductase inhibitor (statin)",Lowers high cholesterol levels,"Myopathy, hepatotoxicity",Potent statin.
